Model,Clean_MSE,Clean_MAE,Clean_RMSE,Heavy_RMSE,Heavy_MAE,Stable_RMSE,Stable_MAE,Attack_RMSE_0.50,Attack_DegradationPct_0.50,Rank_Clean_RMSE,Rank_Heavy_RMSE,Rank_Stable_RMSE,Rank_Attack_RMSE,Rank_Robustness
GRU,0.0047361836768686,0.0394371747970581,0.0688199366235444,0.0661117601430969,0.0390072166919708,0.0712318876996974,0.0398346371948719,0.0704694592097641,2.3968673427335805,1.0,1.0,1.0,2.0,5.0
CNN,0.0048912810161709,0.0402144789695739,0.0699376938150735,0.0666848537229275,0.037878792732954,0.0728155233610932,0.0423736162483692,0.0702956894806191,0.5118779959947788,2.0,2.0,2.0,1.0,3.0
PINN,0.0051296716555953,0.0397104322910308,0.0716217261422489,0.0685621354005155,0.0389509052038192,0.0743381267992967,0.0404125452041626,0.0716674086060811,0.0637829696277574,3.0,3.0,3.0,3.0,1.0
LSTM,0.0053818998858332,0.0394442901015281,0.0733614332318641,0.070148687804702,0.0384743250906467,0.0762109656165231,0.0403409413993358,0.0737219262384845,0.4913930804501209,4.0,4.0,4.0,4.0,2.0
PINN-LWR,0.0078993486240506,0.054165594279766,0.0888782798216224,0.090499773734558,0.0604480057954788,0.0873525760188565,0.0483580380678176,0.0897604099681105,0.9925148734410092,5.0,5.0,5.0,5.0,4.0
