Model,Lambda_LWR,Best_Epoch,Test_MSE,Test_MAE,Test_RMSE,Test_STD_ERROR
PINN-LWR,0.01,3,0.0051413886249065,0.0413808822631835,0.0717034770768234,0.0715509504079818
PINN-LWR,0.1,4,0.0053054546006023,0.0495797842741012,0.0728385516097237,0.0714475885033607
PINN-LWR,0.5,5,0.007398996502161,0.0490820184350013,0.0860174197599592,0.0716846212744712
PINN-LWR,0.001,3,0.0076758679933846,0.0516664981842041,0.0876120310995276,0.0717840492725372
PINN-LWR,1.0,5,0.0116282738745212,0.0807420536875724,0.1078344744250244,0.0714772269129753
