Model,Best_Epoch,Test_MSE,Test_MAE,Test_RMSE,Test_STD_ERROR,Lambda_Physics,Lambda_LWR
GRU,27,0.0047361836768686,0.0394371747970581,0.0688199366235444,0.0682529881596565,,
CNN,21,0.0048912810161709,0.0402144789695739,0.0699376938150735,0.0696810707449913,,
PINN,29,0.0051296716555953,0.0397104322910308,0.0716217261422489,0.0706035867333412,1.0,
LSTM,3,0.0053818998858332,0.0394442901015281,0.0733614332318641,0.0715879052877426,,
PINN-LWR,4,0.0078993486240506,0.054165594279766,0.0888782798216224,0.0711830779910087,,0.01
