Model,Lambda_Physics,Best_Epoch,Test_MSE,Test_MAE,Test_RMSE,Test_STD_ERROR
PINN,1.0,29,0.0051296716555953,0.0397104322910308,0.0716217261422489,0.0706035867333412
PINN,0.01,1,0.0057924049906432,0.0399248600006103,0.0761078510447067,0.0715592876076698
PINN,0.1,3,0.0109040578827261,0.0751869678497314,0.1044224970144182,0.0724636390805244
PINN,0.001,4,0.012468590401113,0.0857608839869499,0.1116628425265676,0.0715098604559898
PINN,0.5,7,0.0129006328061223,0.0881218686699867,0.113580952655462,0.0716600939631462
