stop_id,minute_bin,vehicle_count,stop_name,stop_lat,stop_lon
2138,24,2,MERGELLINA - LEONE,40.8279712641352,14.2196664657256
2138,25,2,MERGELLINA - LEONE,40.8279712641352,14.2196664657256
2138,26,1,MERGELLINA - LEONE,40.8279712641352,14.2196664657256
2138,27,3,MERGELLINA - LEONE,40.8279712641352,14.2196664657256
2138,28,1,MERGELLINA - LEONE,40.8279712641352,14.2196664657256
2138,29,2,MERGELLINA - LEONE,40.8279712641352,14.2196664657256
2138,30,1,MERGELLINA - LEONE,40.8279712641352,14.2196664657256
2138,31,3,MERGELLINA - LEONE,40.8279712641352,14.2196664657256
2138,32,2,MERGELLINA - LEONE,40.8279712641352,14.2196664657256
2138,33,4,MERGELLINA - LEONE,40.8279712641352,14.2196664657256
2138,34,3,MERGELLINA - LEONE,40.8279712641352,14.2196664657256
2138,35,3,MERGELLINA - LEONE,40.8279712641352,14.2196664657256
2138,36,3,MERGELLINA - LEONE,40.8279712641352,14.2196664657256
2138,37,2,MERGELLINA - LEONE,40.8279712641352,14.2196664657256
2138,38,2,MERGELLINA - LEONE,40.8279712641352,14.2196664657256
2138,39,3,MERGELLINA - LEONE,40.8279712641352,14.2196664657256
2138,40,3,MERGELLINA - LEONE,40.8279712641352,14.2196664657256
2138,41,4,MERGELLINA - LEONE,40.8279712641352,14.2196664657256
2138,42,4,MERGELLINA - LEONE,40.8279712641352,14.2196664657256
2138,43,2,MERGELLINA - LEONE,40.8279712641352,14.2196664657256
2138,44,2,MERGELLINA - LEONE,40.8279712641352,14.2196664657256
2138,45,3,MERGELLINA - LEONE,40.8279712641352,14.2196664657256
2138,46,1,MERGELLINA - LEONE,40.8279712641352,14.2196664657256
2138,47,3,MERGELLINA - LEONE,40.8279712641352,14.2196664657256
2138,48,3,MERGELLINA - LEONE,40.8279712641352,14.2196664657256
2138,49,3,MERGELLINA - LEONE,40.8279712641352,14.2196664657256
2138,50,1,MERGELLINA - LEONE,40.8279712641352,14.2196664657256
2138,51,3,MERGELLINA - LEONE,40.8279712641352,14.2196664657256
2138,52,3,MERGELLINA - LEONE,40.8279712641352,14.2196664657256
2138,53,3,MERGELLINA - LEONE,40.8279712641352,14.2196664657256
2138,54,1,MERGELLINA - LEONE,40.8279712641352,14.2196664657256
2138,55,2,MERGELLINA - LEONE,40.8279712641352,14.2196664657256
2138,56,3,MERGELLINA - LEONE,40.8279712641352,14.2196664657256
2138,58,4,MERGELLINA - LEONE,40.8279712641352,14.2196664657256
2138,59,3,MERGELLINA - LEONE,40.8279712641352,14.2196664657256
2138,60,2,MERGELLINA - LEONE,40.8279712641352,14.2196664657256
2138,61,3,MERGELLINA - LEONE,40.8279712641352,14.2196664657256
2138,63,3,MERGELLINA - LEONE,40.8279712641352,14.2196664657256
2138,64,3,MERGELLINA - LEONE,40.8279712641352,14.2196664657256
2138,65,2,MERGELLINA - LEONE,40.8279712641352,14.2196664657256
2138,66,3,MERGELLINA - LEONE,40.8279712641352,14.2196664657256
2138,67,1,MERGELLINA - LEONE,40.8279712641352,14.2196664657256
2138,68,3,MERGELLINA - LEONE,40.8279712641352,14.2196664657256
2138,69,2,MERGELLINA - LEONE,40.8279712641352,14.2196664657256
2138,70,4,MERGELLINA - LEONE,40.8279712641352,14.2196664657256
2138,71,2,MERGELLINA - LEONE,40.8279712641352,14.2196664657256
2138,72,2,MERGELLINA - LEONE,40.8279712641352,14.2196664657256
2138,73,3,MERGELLINA - LEONE,40.8279712641352,14.2196664657256
2138,74,3,MERGELLINA - LEONE,40.8279712641352,14.2196664657256
2138,75,2,MERGELLINA - LEONE,40.8279712641352,14.2196664657256
2138,76,3,MERGELLINA - LEONE,40.8279712641352,14.2196664657256
2138,77,4,MERGELLINA - LEONE,40.8279712641352,14.2196664657256
2138,79,3,MERGELLINA - LEONE,40.8279712641352,14.2196664657256
2138,80,4,MERGELLINA - LEONE,40.8279712641352,14.2196664657256
2138,81,4,MERGELLINA - LEONE,40.8279712641352,14.2196664657256
2138,82,1,MERGELLINA - LEONE,40.8279712641352,14.2196664657256
2138,83,4,MERGELLINA - LEONE,40.8279712641352,14.2196664657256
2138,84,1,MERGELLINA - LEONE,40.8279712641352,14.2196664657256
2138,85,2,MERGELLINA - LEONE,40.8279712641352,14.2196664657256
2138,86,3,MERGELLINA - LEONE,40.8279712641352,14.2196664657256
2138,87,2,MERGELLINA - LEONE,40.8279712641352,14.2196664657256
2138,88,1,MERGELLINA - LEONE,40.8279712641352,14.2196664657256
2138,89,2,MERGELLINA - LEONE,40.8279712641352,14.2196664657256
2138,90,1,MERGELLINA - LEONE,40.8279712641352,14.2196664657256
2138,91,2,MERGELLINA - LEONE,40.8279712641352,14.2196664657256
2138,92,1,MERGELLINA - LEONE,40.8279712641352,14.2196664657256
2138,93,1,MERGELLINA - LEONE,40.8279712641352,14.2196664657256
2138,95,3,MERGELLINA - LEONE,40.8279712641352,14.2196664657256
2140,24,2,MERGELLINA - FUNCOLARE,40.8260748603362,14.2196442246363
2140,25,2,MERGELLINA - FUNCOLARE,40.8260748603362,14.2196442246363
2140,26,1,MERGELLINA - FUNCOLARE,40.8260748603362,14.2196442246363
2140,27,3,MERGELLINA - FUNCOLARE,40.8260748603362,14.2196442246363
2140,28,1,MERGELLINA - FUNCOLARE,40.8260748603362,14.2196442246363
2140,29,1,MERGELLINA - FUNCOLARE,40.8260748603362,14.2196442246363
2140,30,2,MERGELLINA - FUNCOLARE,40.8260748603362,14.2196442246363
2140,31,2,MERGELLINA - FUNCOLARE,40.8260748603362,14.2196442246363
2140,32,2,MERGELLINA - FUNCOLARE,40.8260748603362,14.2196442246363
2140,33,2,MERGELLINA - FUNCOLARE,40.8260748603362,14.2196442246363
2140,34,6,MERGELLINA - FUNCOLARE,40.8260748603362,14.2196442246363
2140,35,1,MERGELLINA - FUNCOLARE,40.8260748603362,14.2196442246363
2140,36,3,MERGELLINA - FUNCOLARE,40.8260748603362,14.2196442246363
2140,37,3,MERGELLINA - FUNCOLARE,40.8260748603362,14.2196442246363
2140,38,3,MERGELLINA - FUNCOLARE,40.8260748603362,14.2196442246363
2140,39,3,MERGELLINA - FUNCOLARE,40.8260748603362,14.2196442246363
2140,40,2,MERGELLINA - FUNCOLARE,40.8260748603362,14.2196442246363
2140,41,5,MERGELLINA - FUNCOLARE,40.8260748603362,14.2196442246363
2140,42,3,MERGELLINA - FUNCOLARE,40.8260748603362,14.2196442246363
2140,43,3,MERGELLINA - FUNCOLARE,40.8260748603362,14.2196442246363
2140,44,2,MERGELLINA - FUNCOLARE,40.8260748603362,14.2196442246363
2140,45,3,MERGELLINA - FUNCOLARE,40.8260748603362,14.2196442246363
2140,46,1,MERGELLINA - FUNCOLARE,40.8260748603362,14.2196442246363
2140,47,2,MERGELLINA - FUNCOLARE,40.8260748603362,14.2196442246363
2140,48,4,MERGELLINA - FUNCOLARE,40.8260748603362,14.2196442246363
2140,49,3,MERGELLINA - FUNCOLARE,40.8260748603362,14.2196442246363
2140,50,1,MERGELLINA - FUNCOLARE,40.8260748603362,14.2196442246363
2140,51,3,MERGELLINA - FUNCOLARE,40.8260748603362,14.2196442246363
2140,52,3,MERGELLINA - FUNCOLARE,40.8260748603362,14.2196442246363
2140,53,2,MERGELLINA - FUNCOLARE,40.8260748603362,14.2196442246363
2140,54,1,MERGELLINA - FUNCOLARE,40.8260748603362,14.2196442246363
2140,55,3,MERGELLINA - FUNCOLARE,40.8260748603362,14.2196442246363
2140,56,3,MERGELLINA - FUNCOLARE,40.8260748603362,14.2196442246363
2140,58,3,MERGELLINA - FUNCOLARE,40.8260748603362,14.2196442246363
2140,59,4,MERGELLINA - FUNCOLARE,40.8260748603362,14.2196442246363
2140,60,2,MERGELLINA - FUNCOLARE,40.8260748603362,14.2196442246363
2140,61,3,MERGELLINA - FUNCOLARE,40.8260748603362,14.2196442246363
